Code,Hazard Score
H200,100
H201,100
H202,100
H203,100
H204,100
H205,100
H206,100
H207,100
H207,100
H208,100
H220,75
H221,75
H221,75
H222,75
H223,75
H224,75
H225,50
H226,25
H227,10
H228,75
H228,75
H229,75
H229,75
H229,75
H230,75
H231,75
H232,75
H240,100
H241,100
H242,100
H242,100
H250,75
H251,10
H252,10
H260,10
H261,10
H261,10
H270,75
H271,75
H272,75
H272,75
H280,25
H281,25
H282,25
H283,25
H284,25
H290,5
H300,100
H301,75
H302,50
H303,10
H304,10
H305,10
H310,100
H311,75
H312,50
H313,10
H314,25
H315,10
H316,10
H317,25
H318,25
H319,10
H320,10
H330,100
H331,75
H332,50
H333,10
H334,25
H335,50
H336,50
H340,50
H341,50
H350,100
H350i,100
H351,75
H360,50
H360F,50
H360D,50
H360FD,50
H360Fd,50
H360Df,50
H361,50
H361f,50
H361d,50
H361fd,50
H362,50
H370,50
H371,50
H372,50
H373,50
H400,100
H401,75
H402,50
H410,100
H411,75
H412,50
H413,25
H420,50
H300+H310,200
H300+H330,200
H310+H330,200
H300+H310+H330,300
H301+H311,150
H301+H331,150
H311+H331,150
H301+H311+H331,225
H302+H312,100
H302+H332,100
H312+H332,100
H302+H312+H332,150
H303+H313,20
H303+H333,20
H313+H333,20
H303+H313+H333,20
H315+H320,20
